Hashtag,Engagement Score,Posts Last Week,Avg Impressions,Post Reach,Hashtag Reach,Audience Age,Audience Gender,
#FoodieHeaven,9.2,15000,120000,850000,3500000,18-35,55% Female,45% Male
#InstaEats,8.7,9800,95000,620000,2800000,18-30,60% Female,40% Male
#DelishDiaries,8.5,7500,82000,540000,2100000,25-40,50% Female,50% Male
#TastyTuesday,9,12000,110000,780000,3100000,20-35,65% Female,35% Male
#WeekendBinge,8.3,6500,68000,420000,1800000,21-34,58% Female,42% Male
#StreetFoodLove,8.9,11000,105000,710000,2900000,18-40,52% Female,48% Male
#DessertGoals,9.1,13500,125000,890000,3800000,16-28,70% Female,30% Male
#HealthyEats,8.6,9200,88000,590000,2400000,25-45,60% Female,40% Male
#BrunchVibes,8.4,7800,72000,510000,1900000,22-38,63% Female,37% Male
#FoodPhotography,8.8,10200,95000,680000,2700000,18-35,55% Female,45% Male
